RANK,NEIGHBORHOOD,LATINO POPULATION
210,Northwest Palmdale,0.12
211,Bradbury,0.12
212,La Habra Heights,0.12
213,Sherman Oaks,0.12
214,Angeles Crest,0.12
215,Gramercy Park,0.12
216,Leimert Park,0.11
217,West Hills,0.11
218,Agua Dulce,0.11
219,Cerritos,0.11
220,El Segundo,0.10
221,Playa del Rey,0.10
222,Sierra Madre,0.10
223,Arcadia,0.10
224,La Crescenta-Montrose,0.10
225,Hollywood Hills,0.09
226,West Hollywood,0.09
227,Studio City,0.09
228,Encino,0.09
229,Hancock Park,0.09
230,Cheviot Hills,0.08
231,Woodland Hills,0.08
232,Porter Ranch,0.08
233,Pico-Robertson,0.07
234,Leona Valley,0.07
235,Agoura Hills,0.07
236,Westwood,0.07
237,Hermosa Beach,0.07
238,Veterans Administration,0.07
239,Hidden Hills,0.06
240,Beverlywood,0.06
241,Beverly Grove,0.06
242,Unincorporated Santa Monica Mountains,0.06
243,Fairfax,0.06
244,Hollywood Hills West,0.06
245,Rolling Hills Estates,0.06
246,Rancho Palos Verdes,0.06
247,Malibu,0.06
248,Calabasas,0.05
249,West Los Angeles,0.05
250,Manhattan Beach,0.05
251,Marina del Rey,0.05
252,Rolling Hills,0.05
253,San Marino,0.05
254,Beverly Hills,0.05
255,La Cañada Flintridge,0.05
256,Bel-Air,0.05
257,Topanga,0.05
258,Westlake Village,0.05
259,Brentwood,0.05
260,Century City,0.04
261,Beverly Crest,0.03
262,Ladera Heights,0.03
263,Pacific Palisades,0.03
264,Palos Verdes Estates,0.03
265,View Park-Windsor Hills,0.03
