NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION,NDVI_SPRING,NDVI_SUMMER,TEMP_SPRING,TEMP_SUMMER
Lennox,21557.0,0.22,0.01,0.89,0.04,10.5,24.0,0.19699999999999998,37937.0,0.29,0.04,0.11963507897496552,0.09057795822419457,37.473572057922155,45.737473184186335
Lennox,21557.0,0.22,0.01,0.89,0.04,37937.0,,0.19699999999999998,37937.0,0.29,0.04,0.11963507897496552,0.09057795822419457,37.473572057922155,45.737473184186335
Leona Valley,90.0,0.07,0.06,0.07,0.8,0.0,0.0,0.353,117526.0,0.9,0.01,0.24766659250194684,0.16658738501571366,29.239634553342974,47.84978458628558
Lincoln Heights,10602.0,0.2,0.25,0.71,0.03,21.3,63.0,0.436,30579.0,0.24,0.0,0.11326639573874933,0.09646384764071614,36.9927384345175,47.08171822742475
Lincoln Heights,10602.0,0.2,0.25,0.71,0.03,30579.0,,0.436,30579.0,0.24,0.0,0.11326639573874933,0.09646384764071614,36.9927384345175,47.08171822742475
Littlerock,766.0,0.12,0.01,0.35,0.53,14.4,2.0,0.5920000000000001,60781.0,0.79,0.1,0.25697822860274383,0.1476447320571326,31.409361697205256,49.11153852261179
Lomita,10424.0,0.18,0.12,0.26,0.54,3.5,7.0,0.626,59059.0,0.47,0.04,0.14406936975784632,0.11745511405911796,37.23715097402597,45.45051406926407
Long Beach,8882.0,0.22,0.13,0.36,0.33,,,0.723,50985.0,0.41,0.14,0.2452517776394259,0.20379811709482928,36.760252965463,42.980317618451494
Lopez/Kagel Canyons,195.0,0.08,0.02,0.27,0.62,,,0.5429999999999999,61398.0,0.74,0.09,0.2777986258772541,0.1619167267600274,30.546912762595277,46.63295774647887
Los Feliz,13512.0,0.1,0.14,0.19,0.58,11.4,42.0,0.61,50793.0,0.25,0.04,0.181128550249846,0.15309871475205875,35.36555732071067,44.776552976267666
Lynwood,14264.0,0.19,0.01,0.82,0.03,11.6,81.0,0.309,48518.0,0.47,0.13,0.15143406774419105,0.1069076837483864,38.72424698795181,46.345566460055096
Malibu,629.0,0.08,0.02,0.06,0.89,3.2,4.0,0.207,138215.0,0.72,0.01,0.29426128756045433,0.19126000343780866,30.308598140390313,40.370253056775994
Manchester Square,11449.0,0.26,0.0,0.19,0.01,83.4,101.0,0.34600000000000003,46093.0,0.57,0.79,0.14281320099783415,0.10264367836930177,37.87739273927393,46.700175330033005
Manhattan Beach,8573.0,0.07,0.06,0.05,0.86,,,0.262,136481.0,0.65,0.01,0.14214416921955264,0.13460074646832193,35.558960295376714,41.99468910530822
Marina del Rey,5706.0,0.11,0.08,0.05,0.78,9.6,8.0,0.377,92763.0,0.08,0.05,0.9714578328757721,1.0044788717541753,30.47569921070693,37.96794211850835
Mar Vista,12259.0,0.11,0.13,0.29,0.51,10.1,38.0,0.634,62611.0,0.39,0.04,0.1709943012677161,0.14356699663467123,36.27706058317844,43.601359200743495
Mayflower Village,9585.0,0.11,0.1,0.48,0.3,2.6,3.0,0.6579999999999999,67592.0,0.76,0.09,0.18990628662429518,0.1577255365075072,36.83970954628901,46.86009621688959
Maywood,23638.0,0.19,0.0,0.96,0.03,41203.0,,0.069,41203.0,0.3,0.0,0.10880584123729005,0.08535024419484835,40.316985355358135,47.890833797327396
Mid-City,15051.0,0.23,0.04,0.45,0.1,27.8,153.0,0.637,43711.0,0.31,0.38,0.13156742321739315,0.10717642715786847,37.345115970599686,45.81483949084891
Mid-City,15051.0,0.23,0.04,0.45,0.1,43711.0,,0.637,43711.0,0.31,0.38,0.13156742321739315,0.10717642715786847,37.345115970599686,45.81483949084891
Mid-Wilshire,14988.0,0.16,0.2,0.2,0.34,24.4,115.0,0.755,58483.0,0.22,0.23,0.15462030054499637,0.12698439124836805,36.4725756011659,44.76554150473646
Mission Hills,5721.0,0.1,0.11,0.54,0.29,14.4,28.0,0.615,75675.0,0.78,0.04,0.257499322047231,0.13944097618988474,36.50476285108638,47.45418168327327
Monrovia,2643.0,0.18,0.07,0.35,0.46,,,0.65,61504.0,0.48,0.08,0.26083610792609196,0.2166748523991719,30.122822820988862,42.74653914764674
Montebello,7329.0,0.17,0.11,0.75,0.11,,,0.41700000000000004,52623.0,0.48,0.01,0.17182502569324828,0.11813177968462085,37.19988032767185,46.898625447217995
Montecito Heights,6959.0,0.14,0.17,0.66,0.12,9.9,18.0,0.524,55901.0,0.51,0.03,0.2426761672298168,0.16174855099820423,33.0696551931537,45.25973071899917
Monterey Park,7823.0,0.11,0.61,0.29,0.07,,,0.537,55210.0,0.54,0.0,0.17091398357709814,0.12177631384949489,37.065308614564834,47.029439595671725
Mount Washington,6878.0,0.15,0.13,0.61,0.21,10.3,14.0,0.565,57725.0,0.55,0.03,0.252931801271645,0.17732102255112508,33.43163780663781,45.094899891774894
Northeast Antelope Valley,10.0,0.12,0.02,0.25,0.62,0.0,0.0,0.5479999999999999,52234.0,0.74,0.08,0.19837023648759922,0.12739965833752886,32.826091116266014,46.733577901000814
North El Monte,8677.0,0.11,0.26,0.31,0.4,2.7,1.0,0.6779999999999999,56577.0,0.65,0.01,0.18242715247591634,0.15428136380991542,37.90792117011278,47.18835761278196
North Hills,10003.0,0.18,0.12,0.57,0.24,15.7,92.0,0.604,52456.0,0.49,0.05,0.16551164720879227,0.13003858191068055,38.41603163422131,47.82240487316422
North Hollywood,13264.0,0.2,0.06,0.58,0.27,20.4,178.0,0.586,42791.0,0.25,0.06,0.1287225702662185,0.10446229735959461,37.86349677662911,47.926329770561686
North Hollywood,13264.0,0.2,0.06,0.58,0.27,42791.0,,0.586,42791.0,0.25,0.06,0.1287225702662185,0.10446229735959461,37.86349677662911,47.926329770561686
Northridge,6080.0,0.12,0.15,0.26,0.5,15.8,98.0,0.6609999999999999,67906.0,0.54,0.05,0.17478869799590668,0.14805645808995327,37.118651742374844,46.930181794786954
Northwest Antelope Valley,16.0,0.06,0.03,0.14,0.78,0.0,0.0,0.37200000000000005,58899.0,0.81,0.02,0.279040629839604,0.1516267763064304,30.874835514085166,47.70778984525588
Northwest Palmdale,540.0,0.07,0.04,0.12,0.75,0.0,0.0,0.42100000000000004,103013.0,0.88,0.02,0.19945615848898185,0.14284300865948327,32.79908820410087,49.311499946305844
North Whittier,797.0,0.09,0.16,0.57,0.24,2.3,1.0,0.588,93841.0,0.85,0.01,0.30406178331213385,0.19422647697926304,30.92467622571693,42.699607654611995
Norwalk,10572.0,0.13,0.12,0.63,0.19,7.8,80.0,0.5539999999999999,62412.0,0.66,0.04,0.1468943749945413,0.11364522627973903,38.19100230575741,46.42073545419432
Pacific Palisades,1048.0,0.07,0.06,0.03,0.89,3.1,8.0,0.21,168008.0,0.83,0.0,0.2967417590157776,0.21591377195247935,29.47808978211871,40.61070999248685
Pacoima,10510.0,0.18,0.02,0.86,0.05,18.9,154.0,0.259,49066.0,0.57,0.07,0.16544602164548528,0.09915091262970632,37.6797979437384,48.40849394343787
Palmdale,874.0,0.19,0.04,0.38,0.41,4.5,53.0,0.67,63317.0,0.71,0.14,0.2238561041474122,0.14382914388221402,32.058348736906964,47.3650528270264
Palms,21870.0,0.15,0.2,0.23,0.38,11.2,51.0,0.7390000000000001,50684.0,0.13,0.12,0.12072876893757471,0.10689292449117359,37.20094240949454,45.18550418374317
Palos Verdes Estates,2822.0,0.03,0.17,0.03,0.76,,,0.39799999999999996,167344.0,0.91,0.01,0.26282156210993224,0.2862019624587643,30.576165745363767,39.502121968616265
Panorama City,18028.0,0.2,0.12,0.7,0.12,23.7,165.0,0.479,44468.0,0.36,0.04,0.12379237139378532,0.10517918786337209,39.36349369962012,48.523383764500565
Panorama City,18028.0,0.2,0.12,0.7,0.12,44468.0,,0.479,44468.0,0.36,0.04,0.12379237139378532,0.10517918786337209,39.36349369962012,48.523383764500565
Paramount,11395.0,0.22,0.04,0.73,0.09,5.6,31.0,0.445,49815.0,0.43,0.12,0.13415058626356427,0.09824492338304727,38.45431622148025,46.28173739729843
Pasadena,5366.0,0.13,0.1,0.33,0.39,,,0.706,62825.0,0.46,0.14,0.2234673795419444,0.18347425300086706,33.39405855416464,44.9376745289413
Pico Rivera,7187.0,0.13,0.03,0.88,0.08,1.9,12.0,0.221,56683.0,0.7,0.01,0.3053899069781179,0.12614172448513386,37.158274023068316,47.16388154203735
Pico-Robertson,17468.0,0.12,0.06,0.07,0.74,13.0,25.0,0.442,63356.0,0.27,0.06,0.13047264429145794,0.11656330681332498,37.0095842278944,45.163982983460556
Pico-Union,25352.0,0.23,0.08,0.85,0.03,32.2,144.0,0.264,26424.0,0.1,0.03,0.09453996825878083,0.07325896421111926,38.5355777426795,47.28765856899318
Pico-Union,25352.0,0.23,0.08,0.85,0.03,26424.0,,0.264,26424.0,0.1,0.03,0.09453996825878083,0.07325896421111926,38.5355777426795,47.28765856899318
Playa del Rey,3542.0,0.08,0.08,0.1,0.73,14.1,16.0,0.451,91339.0,0.47,0.04,0.24653947810818888,0.28201697806149134,32.45612671846982,40.90773311416617
Playa Vista,1859.0,0.06,0.21,0.35,0.32,13.3,8.0,0.722,68597.0,0.55,0.05,0.1803721135779272,0.16671289371538767,34.889117879746834,42.36973496835443
Pomona,6556.0,0.18,0.07,0.64,0.17,,,0.5429999999999999,54242.0,0.57,0.09,0.17300246800312585,0.13386527474499715,36.14556100625168,47.60192301756336
Porter Ranch,4462.0,0.04,0.27,0.08,0.61,2.0,6.0,0.551,121428.0,0.92,0.02,0.2127312928418201,0.16704684118377736,33.448050661464364,46.173257167360944
Quartz Hill,2475.0,0.13,0.02,0.15,0.74,2.1,2.0,0.43,77498.0,0.78,0.06,0.18944524668001922,0.14681229642944937,33.56508950120676,48.762150903939556
Ramona,1122.0,0.08,0.35,0.26,0.32,0.0,0.0,0.7020000000000001,86325.0,0.74,0.03,0.28528704279119316,0.19245261452414772,31.15203409090909,44.67633847343522
Rancho Dominguez,947.0,0.11,0.08,0.16,0.43,23.8,6.0,0.701,72097.0,0.87,0.28,0.1094187423775659,0.07667437097594874,39.41387639381652,46.81028137482283
Rancho Palos Verdes,3084.0,0.05,0.25,0.06,0.63,1.2,5.0,0.537,128321.0,0.82,0.02,0.26110528510314845,0.1980252295045795,32.590474784531494,41.84665929592683
Rancho Park,7169.0,0.1,0.18,0.16,0.58,21.9,10.0,0.598,69724.0,0.54,0.04,0.168840554096727,0.1382583601739101,35.85015389531755,43.98328175457481
Redondo Beach,10129.0,0.11,0.1,0.13,0.7,,,0.474,92263.0,0.5,0.02,0.1482582035019703,0.1489205455514154,36.05774514797341,42.59951345700193
Reseda,10600.0,0.15,0.11,0.44,0.37,17.6,117.0,0.6559999999999999,54771.0,0.52,0.04,0.1699702986451406,0.14427964643674893,38.79599448722436,47.37908868223422
Ridge Route,7.0,0.13,0.05,0.2,0.7,,,0.462,92822.0,0.79,0.01,0.3492978414877917,0.2767489203592609,28.179209119517324,44.99884397492041
Rolling Hills,893.0,0.03,0.14,0.05,0.76,0.0,0.0,0.396,184777.0,0.91,0.02,0.31090352408592803,0.2356118636798618,31.202846372887684,41.62492997852675
Rolling Hills Estates,2185.0,0.05,0.2,0.06,0.7,1.2,1.0,0.469,145628.0,0.91,0.01,0.3044119423754498,0.2131800922814749,33.565447759595614,42.8625993778085
Rosemead,10332.0,0.12,0.49,0.41,0.08,8.8,47.0,0.589,49387.0,0.49,0.01,0.14316037244528812,0.11807431986130984,38.10484683922997,47.639362013938644
Rowland Heights,3604.0,0.09,0.52,0.27,0.16,3.6,17.0,0.632,72638.0,0.67,0.02,0.25374404680853824,0.15681362063054388,32.76199878099388,45.388345473465144
San Dimas,2244.0,0.1,0.09,0.24,0.61,4.0,14.0,0.565,84953.0,0.74,0.03,0.35396788001908147,0.2596135354828539,31.492152673581664,44.857351437769175
San Fernando,9856.0,0.15,0.01,0.9,0.08,,,0.192,54068.0,0.54,0.01,0.15048838383009452,0.11728572898886117,37.59236694677871,48.37702873734366
San Gabriel,9433.0,0.13,0.49,0.3,0.17,,,0.637,56687.0,0.48,0.01,0.16827202132461497,0.14356754623533638,37.43130286888516,47.05125060076898
San Marino,3428.0,0.05,0.47,0.05,0.44,,,0.584,158855.0,0.92,0.01,0.25340579764419646,0.21800571184116652,33.40919858646214,43.86626293141889
San Pasqual,8036.0,0.04,0.18,0.18,0.58,0.0,0.0,0.601,92917.0,0.62,0.03,0.20707978419826656,0.18734684965698387,35.24388748513674,45.4375
San Pedro,6640.0,0.18,0.05,0.41,0.44,14.5,125.0,0.63,57508.0,0.44,0.06,0.192760293028313,0.18059124672944968,35.6576205988356,42.3585770723593
Santa Clarita,2745.0,0.12,0.05,0.21,0.69,2.2,34.0,0.479,88987.0,0.73,0.02,0.21136302776000432,0.14925533926734758,32.64817793670916,47.71712863744135
Santa Fe Springs,2014.0,0.13,0.04,0.72,0.19,,,0.44799999999999995,60445.0,0.63,0.03,0.11418341117141356,0.0841806987442971,38.39713955777677,47.28434859291418
Santa Monica,9817.0,0.13,0.07,0.14,0.71,,,0.465,69013.0,0.3,0.04,0.15762187574638747,0.14781679328301023,34.993280024680544,42.3721388479758
Sawtelle,13319.0,0.11,0.2,0.23,0.5,12.9,50.0,0.659,57710.0,0.2,0.03,0.11791550841151353,0.10355458522939782,36.722092787682335,44.65757075177659
Sepulveda Basin,,,,,,,,,,,,0.3786450567846013,0.2630000554078014,33.67813776058457,44.37141683661908
Shadow Hills,1023.0,0.09,0.07,0.29,0.59,9.1,13.0,0.562,82796.0,0.78,0.01,0.24929994446425716,0.16285351437513332,31.08552087777304,45.50858108288592
Sherman Oaks,6687.0,0.13,0.06,0.12,0.74,8.7,57.0,0.434,69651.0,0.41,0.04,0.2152642548430746,0.16731784176339617,35.55101822179162,45.219676348857156
Sierra Madre,3563.0,0.06,0.05,0.1,0.8,,,0.353,88008.0,0.63,0.01,0.24628232681711773,0.2061676272821029,31.94315975790796,44.24613880324312
Signal Hill,4171.0,0.25,0.19,0.29,0.36,,,0.737,66283.0,0.46,0.11,0.11111168627554871,0.08866746089092077,37.71886179013266,43.89882992994485
Silver Lake,11266.0,0.16,0.18,0.42,0.34,11.2,37.0,0.6759999999999999,54339.0,0.36,0.03,0.3661899156066536,0.2969057266026327,34.80140044031311,44.35833537181996
South Diamond Bar,,,,,,,,,,,,0.3425334248939269,0.1721145333229767,29.770403236020517,44.369743841428665
Southeast Antelope Valley,27.0,0.08,0.02,0.16,0.76,1.9,1.0,0.39299999999999996,70134.0,0.82,0.02,0.2070936592381966,0.15886816447718513,28.448764877992843,44.29157991872946
South El Monte,7150.0,0.17,0.08,0.86,0.05,9.6,20.0,0.248,46912.0,0.5,0.0,0.10898605292810827,0.09613434696316978,38.68126138822458,48.0402583757547
South Gate,12945.0,0.17,0.01,0.92,0.06,,,0.147,48312.0,0.47,0.01,0.14835356974069813,0.10776882216607338,38.90095286141847,46.71268474306503
South Park,21638.0,0.28,0.0,0.79,0.01,59.7,196.0,0.345,29518.0,0.28,0.19,0.09504165540990644,0.07991752823287986,39.44094549384178,47.45841972748815
South Park,21638.0,0.28,0.0,0.79,0.01,29518.0,,0.345,29518.0,0.28,0.19,0.09504165540990644,0.07991752823287986,39.44094549384178,47.45841972748815
South Pasadena,7114.0,0.13,0.26,0.16,0.5,,,0.6509999999999999,76229.0,0.44,0.03,0.22193006891378925,0.18006449927781012,34.50027865847617,44.93212905144217
South San Gabriel,5708.0,0.16,0.41,0.48,0.08,4.9,4.0,0.59,64827.0,0.67,0.01,0.2537048611111111,0.18017723253038195,35.51563194444444,45.98465625
South San Jose Hills,13646.0,0.11,0.06,0.83,0.07,0.0,0.0,0.304,65527.0,0.79,0.02,0.16329804443844528,0.1336939856558084,37.506161680282624,48.02627729011929
South Whittier,10291.0,0.15,0.03,0.7,0.24,3.8,21.0,0.457,64670.0,0.65,0.01,0.18055003706786096,0.14311886685342254,37.46769274305119,46.571948497044396
Stevenson Ranch,2765.0,0.05,0.14,0.13,0.65,5.8,5.0,0.534,122833.0,0.84,0.02,0.23120675696025736,0.18981076438304254,33.653949772294006,46.92370737073708
Studio City,5395.0,0.11,0.05,0.09,0.78,13.7,51.0,0.37799999999999995,75657.0,0.44,0.04,0.21960656073064044,0.1706926995425722,34.06657162838238,44.62195384367099
Sunland,3825.0,0.1,0.07,0.22,0.65,14.6,24.0,0.526,68720.0,0.69,0.02,0.21474700185532905,0.16326416857985146,33.264619098712444,46.717513164599964
Sun Valley,8048.0,0.14,0.08,0.69,0.18,14.3,117.0,0.479,51290.0,0.54,0.02,0.11718381579424675,0.09096761873628342,37.34394384590271,48.35333366258396
Sun Village,917.0,0.13,0.01,0.39,0.47,1.1,1.0,0.619,56175.0,0.78,0.11,0.22992484611069794,0.14462173471604772,32.18108224420898,48.53865184294872
Sylmar,5579.0,0.15,0.03,0.7,0.21,14.2,113.0,0.466,65783.0,0.71,0.04,0.18359651809494304,0.1379422479648217,34.19862244618503,47.705493311749166
Tarzana,4038.0,0.12,0.05,0.15,0.71,21.4,81.0,0.47100000000000003,73195.0,0.59,0.04,0.23909194821241309,0.18814545975623373,35.01840505689983,44.62051384244498
Temple City,8366.0,0.11,0.39,0.2,0.38,3.0,10.0,0.665,65965.0,0.63,0.01,0.16661292013955104,0.14258704309554834,37.96332846003899,47.472964795311704
Toluca Lake,6393.0,0.1,0.05,0.14,0.72,16.4,14.0,0.457,73111.0,0.38,0.05,0.21683096820716963,0.18435604085064713,35.67549386920981,45.18520521117166
Topanga,386.0,0.06,0.04,0.05,0.88,0.0,0.0,0.22699999999999998,120319.0,0.76,0.01,0.30615642051118863,0.2117411695788012,29.752890623609208,42.104309884238646
Torrance,6701.0,0.1,0.29,0.13,0.52,,,0.628,76866.0,0.56,0.02,0.14957614654783957,0.12051139643988135,36.46900816101737,44.218520002002705
Tujunga,2649.0,0.14,0.07,0.26,0.61,8.8,25.0,0.557,58001.0,0.55,0.02,0.23548950295124693,0.18678898784047934,30.305434893704007,45.27503577756576
Tujunga Canyons,11.0,0.11,0.02,0.15,0.77,,,0.384,85625.0,0.87,0.03,0.23407013972468782,0.19486015777794494,27.525202346923425,46.06197744244437
Unincorporated Catalina Island,2.0,0.15,0.01,0.36,0.61,,,0.495,56295.0,0.0,0.0,0.0,0.0,0.0,0.0
Unincorporated Santa Monica Mountains,100.0,0.08,0.06,0.06,0.83,0.0,0.0,0.309,132997.0,0.75,0.02,0.3477455908472454,0.18833653049855242,30.011294543289953,43.47892348104512
Unincorporated Santa Susana Mountains,58.0,0.08,0.19,0.17,0.58,11.0,5.0,0.602,93825.0,0.62,0.03,0.285008269709256,0.16609020809775651,29.254574773736245,46.87922066827143
Universal City,,,,,,,,,,,,0.16452166290487472,0.13255111919030288,33.50086544093039,44.39135709504686
University Park,20217.0,0.2,0.16,0.48,0.26,27.0,68.0,0.6759999999999999,18533.0,0.08,0.07,0.1148360999557974,0.09637322880299813,37.44058855816297,45.60567232939822
University Park,20217.0,0.2,0.16,0.48,0.26,18533.0,,0.6759999999999999,18533.0,0.08,0.07,0.1148360999557974,0.09637322880299813,37.44058855816297,45.60567232939822
Valinda,10748.0,0.1,0.13,0.7,0.12,3.2,7.0,0.48200000000000004,70037.0,0.78,0.04,0.18527285351979628,0.1479682502477103,37.59454061935272,47.70747841282895
Valley Glen,12325.0,0.16,0.05,0.45,0.4,16.1,101.0,0.632,46175.0,0.37,0.04,0.14808246177532386,0.12211178892811637,38.417949670843065,47.78783778596653
Valley Village,11600.0,0.16,0.04,0.19,0.67,11.3,29.0,0.512,55470.0,0.31,0.06,0.16069448077136908,0.13676515567192807,37.293652959728284,46.847658778317154
Val Verde,2588.0,0.08,0.01,0.5,0.38,0.0,0.0,0.602,68073.0,0.73,0.07,0.25634124543931747,0.15488835175832114,32.448703342013886,48.968007144764954
Van Nuys,11542.0,0.21,0.06,0.61,0.23,24.7,273.0,0.5710000000000001,41134.0,0.26,0.06,0.1469287375098708,0.10565436637196979,39.18588493301873,48.13756415739949
Van Nuys,11542.0,0.21,0.06,0.61,0.23,41134.0,,0.5710000000000001,41134.0,0.26,0.06,0.1469287375098708,0.10565436637196979,39.18588493301873,48.13756415739949
Venice,11891.0,0.14,0.04,0.22,0.64,34.2,140.0,0.534,67647.0,0.31,0.05,0.17003971915941019,0.20052926851224614,34.26802720193623,41.487523676733666
Vermont Knolls,18057.0,0.34,0.01,0.55,0.01,110.4,238.0,0.521,27730.0,0.28,0.43,0.10671103675410433,0.08370833127003796,38.751999189268865,47.04977704893868
Vermont Knolls,18057.0,0.34,0.01,0.55,0.01,27730.0,,0.521,27730.0,0.28,0.43,0.10671103675410433,0.08370833127003796,38.751999189268865,47.04977704893868
Vermont-Slauson,18577.0,0.25,0.0,0.61,0.01,99.7,283.0,0.498,31236.0,0.39,0.37,0.10262605398962955,0.08210123659906293,38.99742015997197,47.22039204810836
Vermont-Slauson,18577.0,0.25,0.0,0.61,0.01,31236.0,,0.498,31236.0,0.39,0.37,0.10262605398962955,0.08210123659906293,38.99742015997197,47.22039204810836
Vermont Square,17798.0,0.27,0.01,0.57,0.01,69.6,331.0,0.527,29904.0,0.37,0.39,0.11822816491350073,0.09154106900832833,39.080196638599304,47.36155940924886
Vermont Square,17798.0,0.27,0.01,0.57,0.01,29904.0,,0.527,29904.0,0.37,0.39,0.11822816491350073,0.09154106900832833,39.080196638599304,47.36155940924886
Vermont Vista,14154.0,0.28,0.01,0.52,0.01,122.9,306.0,0.526,31272.0,0.4,0.45,0.12623833051693986,0.08985983156690411,37.95766633476307,46.472949857026144
Vermont Vista,14154.0,0.28,0.01,0.52,0.01,31272.0,,0.526,31272.0,0.4,0.45,0.12623833051693986,0.08985983156690411,37.95766633476307,46.472949857026144
Vernon,18.0,0.0,0.0,0.93,0.02,,,0.14,81279.0,0.16,0.0,0.10934600013152697,0.08330938593538348,40.418183872425594,48.07525663602783
Veterans Administration,683.0,0.63,0.0,0.07,0.46,,,0.5920000000000001,60561.0,0.0,0.44,0.24057996712055152,0.19580890774389165,33.87610105347026,42.83588493714589
View Park-Windsor Hills,6008.0,0.1,0.02,0.03,0.05,7.2,8.0,0.24600000000000002,81214.0,0.76,0.87,0.1862606748566436,0.13697230103997013,36.53134613644589,45.380635292254794
Vincent,10163.0,0.18,0.09,0.6,0.25,2.7,4.0,0.574,66221.0,0.68,0.04,0.16533875719415905,0.13330206857553953,37.473377364644485,47.83698901935203
Walnut,3329.0,0.06,0.56,0.19,0.19,1.3,4.0,0.612,106893.0,0.89,0.04,0.23300310342225408,0.16607688354266498,33.552970418443195,45.73400915383743
Walnut Park,22028.0,0.14,0.01,0.95,0.04,6.8,11.0,0.08900000000000001,48750.0,0.54,0.0,0.11944774354484416,0.09792735321557595,39.870510057471265,47.33767130857648
Watts,17346.0,0.39,0.0,0.62,0.01,67.5,277.0,0.48200000000000004,25161.0,0.33,0.37,0.1340665865670606,0.10210553280593175,38.95303577093909,46.80391718352417
Watts,17346.0,0.39,0.0,0.62,0.01,25161.0,,0.48200000000000004,25161.0,0.33,0.37,0.1340665865670606,0.10210553280593175,38.95303577093909,46.80391718352417
West Adams,14686.0,0.22,0.02,0.56,0.02,41.1,94.0,0.541,38209.0,0.37,0.38,0.12717349389335508,0.1070315492053983,37.56345921407691,46.06471357094671
West Adams,14686.0,0.22,0.02,0.56,0.02,38209.0,,0.541,38209.0,0.37,0.38,0.12717349389335508,0.1070315492053983,37.56345921407691,46.06471357094671
West Carson,9219.0,0.1,0.26,0.3,0.29,4.3,9.0,0.748,66805.0,0.75,0.11,0.11219273276657797,0.09145629019616419,37.842094965380085,46.09594136711844
Westchester,3839.0,0.15,0.1,0.17,0.52,17.9,77.0,0.66,77473.0,0.52,0.17,0.15107763468398788,0.11172051037753346,35.88288451824725,43.91723228943049
West Compton,3291.0,0.21,0.02,0.36,0.02,7.3,4.0,0.539,48093.0,0.71,0.58,0.08823900809834259,0.07451394194250344,39.47782052588667,47.654058141919606
West Covina,6509.0,0.12,0.23,0.46,0.23,,,0.682,71898.0,0.67,0.06,0.19797791119494076,0.15617461579539954,35.62430025043668,46.399407967855005
West Hills,4551.0,0.07,0.11,0.11,0.71,6.8,28.0,0.47,103008.0,0.87,0.03,0.21018837273930854,0.16274977088641587,35.2435601518785,46.67424577190375
West Hollywood,18924.0,0.1,0.04,0.09,0.81,17.1,61.0,0.33,52855.0,0.22,0.03,0.12346932093302408,0.11977674696180556,36.8080078125,44.997998046875
Westlake,38214.0,0.25,0.17,0.73,0.05,40.8,480.0,0.43,26757.0,0.05,0.04,0.10590322314210199,0.09531501276576104,37.900501399253734,46.76487687032419
Westlake,38214.0,0.25,0.17,0.73,0.05,26757.0,,0.43,26757.0,0.05,0.04,0.10590322314210199,0.09531501276576104,37.900501399253734,46.76487687032419
Westlake Village,1534.0,0.05,0.06,0.05,0.86,3.5,3.0,0.261,126550.0,0.87,0.01,0.4591835558275154,0.33070677211302213,33.69830931263858,44.82595350444819
West Los Angeles,12061.0,0.06,0.11,0.05,0.77,9.6,13.0,0.39299999999999996,86403.0,0.49,0.02,0.15536268702093162,0.13834236193003144,35.85932832154088,44.10278596698113
Westmont,17066.0,0.36,0.01,0.39,0.01,41.3,130.0,0.514,31572.0,0.32,0.58,0.13379352902369096,0.0972086075148139,38.55176696557318,47.18725779560202
Westmont,17066.0,0.36,0.01,0.39,0.01,31572.0,,0.514,31572.0,0.32,0.58,0.13379352902369096,0.0972086075148139,38.55176696557318,47.18725779560202
West Puente Valley,12855.0,0.1,0.09,0.81,0.08,1.3,3.0,0.33399999999999996,64809.0,0.77,0.02,0.17092612092391304,0.13768036684782609,38.49400543478261,48.37830811824207
West San Dimas,937.0,0.04,0.16,0.2,0.6,0.0,0.0,0.581,125984.0,0.87,0.03,0.2890419699928977,0.21408612337979405,30.53181463068182,43.18517045454546
West Whittier-Los Nietos,9899.0,0.12,0.01,0.82,0.14,3.1,8.0,0.307,61504.0,0.71,0.01,0.17958037613989172,0.13662447003323142,37.60611816650025,46.75665408137793
Westwood,13036.0,0.05,0.23,0.07,0.63,8.5,44.0,0.5429999999999999,68716.0,0.36,0.02,0.20887084255975572,0.18555184330312127,34.10312013016775,42.680403592072665
Whittier,5688.0,0.15,0.04,0.56,0.37,,,0.5479999999999999,66891.0,0.58,0.01,0.2191088760231727,0.1642844275997233,34.695449043117364,44.8080058190551
Whittier Narrows,,,,,,,,,,,,0.3940243934355837,0.2811661892903276,32.12024117079264,44.51750114246544
Willowbrook,9117.0,0.25,0.01,0.53,0.01,13.4,46.0,0.523,38224.0,0.52,0.44,0.15017012425329387,0.11149190312360428,38.055739169271995,46.46028773922375
Willowbrook,9117.0,0.25,0.01,0.53,0.01,38224.0,,0.523,38224.0,0.52,0.44,0.15017012425329387,0.11149190312360428,38.055739169271995,46.46028773922375
Wilmington,5636.0,0.19,0.03,0.87,0.06,24.6,134.0,0.245,40627.0,0.39,0.03,0.1467878863899991,0.12787225478626885,36.79732175670709,43.76672179345829
Wilmington,5636.0,0.19,0.03,0.87,0.06,40627.0,,0.245,40627.0,0.39,0.03,0.1467878863899991,0.12787225478626885,36.79732175670709,43.76672179345829
Windsor Square,8255.0,0.1,0.42,0.15,0.38,16.1,10.0,0.6609999999999999,61767.0,0.41,0.04,0.21071703551857715,0.17279687583650727,35.15573375550661,43.5321065834557
Winnetka,9826.0,0.13,0.16,0.41,0.36,13.9,76.0,0.6779999999999999,62535.0,0.52,0.04,0.16643127828558194,0.14126700232131084,37.294005238400686,47.52356513327601
