"","neigborhood","ndvi_mean","temp_mean","median_inc","crime_percapita","crime_total","diversity_index","pct_black","pct_white","pct_latino","pct_homeowner","pct_single_parent","pop_density"
"134","Littlerock",0.109675134,44.76710257,60781,14.4,2,0.592,0.1,0.53,0.35,0.79,0.12,"766"
"135","Lomita",0.115779643,37.24904888,59059,8.5,17,0.626,0.04,0.54,0.26,0.47,0.18,"10,424"
"136","Long Beach",0.114537957,34.7761322,50985,NA,NA,0.723,0.14,0.33,0.36,0.41,0.22,"8,882"
"137","Lopez/Kagel Canyons",0.146149014,38.88666221,61398,NA,NA,0.543,0.09,0.62,0.27,0.74,0.08,"195"
"138","Los Feliz",0.152280801,35.83900515,50793,16.2,60,0.61,0.04,0.58,0.19,0.25,0.1,"13,512"
"139","Lynwood",0.108624809,37.65319897,48518,15,105,0.309,0.13,0.03,0.82,0.47,0.19,"14,264"
"140","Malibu",0.193174801,31.15697382,138215,8.8,11,0.207,0.01,0.89,0.06,0.72,0.08,"629"
"141","Manchester Square",0.102579371,38.04546266,46093,102.3,124,0.346,0.79,0.01,0.19,0.57,0.26,"11,449"
"142","Manhattan Beach",0.122198426,32.18640379,136481,NA,NA,0.262,0.01,0.86,0.05,0.65,0.07,"8,573"
"143","Mar Vista",0.150166443,34.23443182,62611,7.5,28,0.634,0.04,0.51,0.29,0.39,0.11,"12,259"
"144","Marina del Rey",0.052056474,29.38955844,92763,9.6,8,0.377,0.05,0.78,0.05,0.08,0.11,"5,706"
"145","Mayflower Village",0.150263711,38.40502943,67592,4.3,5,0.658,0.09,0.3,0.48,0.76,0.11,"9,585"
"146","Maywood",0.091156702,39.2627846,41203,NA,NA,0.069,0,0.03,0.96,0.3,0.19,"23,638"
"147","Mid-City",0.108236324,36.75208255,43711,39.1,215,0.637,0.38,0.1,0.45,0.31,0.23,"15,051"
"148","Mid-Wilshire",0.131665835,36.17055257,58483,23.7,112,0.755,0.23,0.34,0.2,0.22,0.16,"14,988"
"149","Mission Hills",0.139162882,38.97655033,75675,36,70,0.615,0.04,0.29,0.54,0.78,0.1,"5,721"
"150","Monrovia",0.202426576,32.76508203,61504,NA,NA,0.65,0.08,0.46,0.35,0.48,0.18,"2,643"
"151","Montebello",0.115555319,37.97035147,52623,NA,NA,0.417,0.01,0.11,0.75,0.48,0.17,"7,329"
"152","Montecito Heights",0.149722507,36.17031577,55901,15.4,28,0.524,0.03,0.12,0.66,0.51,0.14,"6,959"
"153","Monterey Park",0.116350798,38.12920257,55210,NA,NA,0.537,0,0.07,0.29,0.54,0.11,"7,823"
"154","Mount Washington",0.16836987,35.92149662,57725,16.3,22,0.565,0.03,0.21,0.61,0.55,0.15,"6,878"
"155","North El Monte",0.149201406,38.48394848,56577,0,0,0.678,0.01,0.4,0.31,0.65,0.11,"8,677"
"156","North Hills",0.129090273,39.60814162,52456,30.8,180,0.604,0.05,0.24,0.57,0.49,0.18,"10,003"
"157","North Hollywood",0.101053127,39.01365886,42791,24.9,217,0.586,0.06,0.27,0.58,0.25,0.2,"13,264"
"158","North Whittier",0.178035971,33.25116309,93841,6.9,3,0.588,0.01,0.24,0.57,0.85,0.09,"797"
"159","Northeast Antelope Valley",0.084222131,44.05074495,52234,28.6,13,0.548,0.08,0.62,0.25,0.74,0.12,"10"
"160","Northridge",0.15066036,39.03292129,67906,21,130,0.661,0.05,0.5,0.26,0.54,0.12,"6,080"
"161","Northwest Antelope Valley",0.128455902,39.4084668,58899,3,1,0.372,0.02,0.78,0.14,0.81,0.06,"16"
"162","Northwest Palmdale",0.121434991,44.56917762,103013,6.4,2,0.421,0.02,0.75,0.12,0.88,0.07,"540"
"163","Norwalk",0.114856476,37.45903432,62412,10.2,105,0.554,0.04,0.19,0.63,0.66,0.13,"10,572"
"164","Pacific Palisades",0.202805495,29.97690411,168008,5.9,15,0.21,0,0.89,0.03,0.83,0.07,"1,048"
"165","Pacoima",0.093024864,40.15408575,49066,24.6,200,0.259,0.07,0.05,0.86,0.57,0.18,"10,510"
"166","Palmdale",0.110762511,43.98990028,63317,12.5,147,0.67,0.14,0.41,0.38,0.71,0.19,"874"
"167","Palms",0.103739649,35.67473776,50684,12.1,55,0.739,0.12,0.38,0.23,0.13,0.15,"21,870"
"168","Palos Verdes Estates",0.220506966,29.74454216,167344,NA,NA,0.398,0.01,0.76,0.03,0.91,0.03,"2,822"
"169","Panorama City",0.101187844,40.11753993,44468,29.3,204,0.479,0.04,0.12,0.7,0.36,0.2,"18,028"
"170","Paramount",0.096893252,37.36290352,49815,14.1,78,0.445,0.12,0.09,0.73,0.43,0.22,"11,395"
"171","Pasadena",0.17048157,35.22623605,62825,NA,NA,0.706,0.14,0.39,0.33,0.46,0.13,"5,366"
"172","Pico Rivera",0.120225378,38.5904422,56683,10.1,64,0.221,0.01,0.08,0.88,0.7,0.13,"7,187"
"173","Pico-Robertson",0.114619896,36.03969014,63356,16.6,32,0.442,0.06,0.74,0.07,0.27,0.12,"17,468"
"174","Pico-Union",0.073036784,39.17052591,26424,41,183,0.264,0.03,0.03,0.85,0.1,0.23,"25,352"
"175","Playa del Rey",0.103792188,32.26043124,91339,8,9,0.451,0.04,0.73,0.1,0.47,0.08,"3,542"
"176","Playa Vista",0.103435901,32.89175082,68597,10,6,0.722,0.05,0.32,0.35,0.55,0.06,"1,859"
"177","Pomona",0.127728071,39.00986754,54242,NA,NA,0.543,0.09,0.17,0.64,0.57,0.18,"6,556"
"178","Porter Ranch",0.174158286,37.30509302,121428,3.9,12,0.551,0.02,0.61,0.08,0.92,0.04,"4,462"
"179","Quartz Hill",0.134327566,42.15545403,77498,8.6,8,0.43,0.06,0.74,0.15,0.78,0.13,"2,475"
"180","Ramona",0.184402708,35.7561025,86325,0,0,0.702,0.03,0.32,0.26,0.74,0.08,"1,122"
"181","Rancho Dominguez",0.066262847,38.34950164,72097,51.5,13,0.701,0.28,0.43,0.16,0.87,0.11,"947"
"182","Rancho Palos Verdes",0.192102966,32.68239264,128321,1.9,8,0.537,0.02,0.63,0.06,0.82,0.05,"3,084"
"183","Rancho Park",0.147775859,34.38618946,69724,30.7,14,0.598,0.04,0.58,0.16,0.54,0.1,"7,169"
"184","Redondo Beach",0.106408284,33.19460532,92263,NA,NA,0.474,0.02,0.7,0.13,0.5,0.11,"10,129"
"185","Reseda",0.145588796,39.90437602,54771,20.4,136,0.656,0.04,0.37,0.44,0.52,0.15,"10,600"
"186","Ridge Route",0.165667488,35.22667029,92822,NA,NA,0.462,0.01,0.7,0.2,0.79,0.13,"7"
"187","Rolling Hills",0.233131958,31.91579392,184777,0,0,0.396,0.02,0.76,0.05,0.91,0.03,"893"
"188","Rolling Hills Estates",0.214516528,33.95880208,145628,1.2,1,0.469,0.01,0.7,0.06,0.91,0.05,"2,185"
"189","Rosemead",0.111897241,38.66023517,49387,7.7,41,0.589,0.01,0.08,0.41,0.49,0.12,"10,332"
