NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION
Green Meadows,12785.0,0.28,0.0,0.54,0.01,31347.0,,0.512,31347.0,0.48,0.44
Green Valley,290.0,0.07,0.03,0.12,0.75,0.0,0.0,0.42,78712.0,0.86,0.06
Griffith Park,,,,,,,,,,,
Hacienda Heights,4503.0,0.08,0.36,0.38,0.23,1.1,6.0,0.674,80762.0,0.8,0.01
Hancock Park,6459.0,0.1,0.13,0.09,0.71,21.6,23.0,0.473,85277.0,0.47,0.04
Hansen Dam,,,,,,,,,,,
Harbor City,9127.0,0.19,0.14,0.48,0.25,20.0,52.0,0.674,55454.0,0.46,0.11
Harbor Gateway,7720.0,0.19,0.16,0.53,0.12,30.7,129.0,0.648,47849.0,0.4,0.16
Harvard Heights,23473.0,0.23,0.13,0.66,0.03,36.2,73.0,0.517,31173.0,0.16,0.16
Harvard Heights,23473.0,0.23,0.13,0.66,0.03,31173.0,,0.517,31173.0,0.16,0.16
Harvard Park,16072.0,0.24,0.01,0.48,0.01,109.3,119.0,0.5329999999999999,37013.0,0.51,0.48
Harvard Park,16072.0,0.24,0.01,0.48,0.01,37013.0,,0.5329999999999999,37013.0,0.51,0.48
Hasley Canyon,136.0,0.1,0.04,0.27,0.61,0.0,0.0,0.547,106489.0,0.9,0.05
Hawaiian Gardens,15141.0,0.2,0.09,0.74,0.11,5.4,8.0,0.436,46853.0,0.45,0.05
Hawthorne,13848.0,0.27,0.08,0.44,0.13,43602.0,,0.6759999999999999,43602.0,0.26,0.32
Hermosa Beach,12481.0,0.08,0.05,0.07,0.85,,,0.272,109509.0,0.43,0.01
Hidden Hills,1100.0,0.05,0.03,0.06,0.89,0.0,0.0,0.207,203199.0,0.97,0.0
Highland Park,16835.0,0.21,0.11,0.72,0.11,13.1,80.0,0.449,45478.0,0.39,0.02
Highland Park,16835.0,0.21,0.11,0.72,0.11,45478.0,,0.449,45478.0,0.39,0.02
Historic South-Central,19474.0,0.25,0.01,0.87,0.01,46.7,245.0,0.22899999999999998,30882.0,0.2,0.1
Historic South-Central,19474.0,0.25,0.01,0.87,0.01,30882.0,,0.22899999999999998,30882.0,0.2,0.1
Hollywood,22193.0,0.18,0.07,0.42,0.41,49.1,420.0,0.644,33694.0,0.08,0.05
Hollywood,22193.0,0.18,0.07,0.42,0.41,33694.0,,0.644,33694.0,0.08,0.05
Hollywood Hills,3063.0,0.07,0.07,0.09,0.74,14.8,34.0,0.433,69277.0,0.44,0.05
Hollywood Hills West,3048.0,0.06,0.04,0.06,0.85,18.1,29.0,0.273,108199.0,0.64,0.03
Huntington Park,20223.0,0.2,0.01,0.95,0.03,39185.0,,0.094,39185.0,0.27,0.01
Hyde Park,12700.0,0.29,0.01,0.27,0.02,47.6,185.0,0.488,39460.0,0.47,0.66
Hyde Park,12700.0,0.29,0.01,0.27,0.02,39460.0,,0.488,39460.0,0.47,0.66
Industry,82.0,0.0,0.09,0.62,0.24,,,0.546,66616.0,0.4,0.02
Inglewood,12330.0,0.27,0.01,0.46,0.04,,,0.5710000000000001,46574.0,0.36,0.46
Irwindale,154.0,0.15,0.01,0.88,0.08,,,0.212,60959.0,0.69,0.0
Jefferson Park,16300.0,0.27,0.03,0.45,0.03,35.0,85.0,0.5770000000000001,32654.0,0.31,0.47
Jefferson Park,16300.0,0.27,0.03,0.45,0.03,32654.0,,0.5770000000000001,32654.0,0.31,0.47
Koreatown,42611.0,0.2,0.32,0.54,0.07,28.2,350.0,0.602,30558.0,0.07,0.05
Koreatown,42611.0,0.2,0.32,0.54,0.07,30558.0,,0.602,30558.0,0.07,0.05
La Ca̱ada Flintridge,,,,,,,,,,,
La Crescenta-Montrose,5401.0,0.09,0.2,0.1,0.66,0.0,0.0,0.514,82693.0,0.65,0.01
Ladera Heights,2214.0,0.1,0.03,0.03,0.19,4.6,3.0,0.456,117925.0,0.77,0.71
La Habra Heights,979.0,0.04,0.19,0.12,0.64,0.0,0.0,0.539,137034.0,0.94,0.02
Lake Balboa,7754.0,0.14,0.09,0.34,0.49,17.9,47.0,0.632,65336.0,0.66,0.04
Lake Hughes,61.0,0.1,0.01,0.16,0.76,0.0,0.0,0.389,74918.0,0.77,0.04
Lake Los Angeles,1601.0,0.17,0.02,0.36,0.47,0.0,0.0,0.639,52146.0,0.78,0.09
Lake View Terrace,2790.0,0.12,0.05,0.53,0.22,10.2,13.0,0.636,67985.0,0.75,0.17
Lakewood,8348.0,0.11,0.14,0.23,0.52,2.6,21.0,0.649,78764.0,0.72,0.07
La Mirada,5966.0,0.07,0.15,0.34,0.47,2.8,13.0,0.644,83514.0,0.82,0.02
Lancaster,1180.0,0.22,0.04,0.24,0.53,8.4,101.0,0.638,56069.0,0.61,0.15
La Puente,11761.0,0.15,0.07,0.83,0.07,3.2,13.0,0.306,55902.0,0.61,0.02
Larchmont,17747.0,0.14,0.3,0.37,0.25,23.9,22.0,0.708,47780.0,0.27,0.03
La Verne,3863.0,0.1,0.07,0.23,0.64,,,0.53,83352.0,0.78,0.03
Lawndale,16119.0,0.21,0.11,0.52,0.22,7.9,25.0,0.6509999999999999,53150.0,0.33,0.12
Leimert Park,9880.0,0.28,0.05,0.11,0.01,69.9,86.0,0.35100000000000003,45865.0,0.46,0.8
Leimert Park,9880.0,0.28,0.05,0.11,0.01,45865.0,,0.35100000000000003,45865.0,0.46,0.8
Lennox,21557.0,0.22,0.01,0.89,0.04,10.5,24.0,0.19699999999999998,37937.0,0.29,0.04
Lennox,21557.0,0.22,0.01,0.89,0.04,37937.0,,0.19699999999999998,37937.0,0.29,0.04
Leona Valley,90.0,0.07,0.06,0.07,0.8,0.0,0.0,0.353,117526.0,0.9,0.01
Lincoln Heights,10602.0,0.2,0.25,0.71,0.03,21.3,63.0,0.436,30579.0,0.24,0.0
Lincoln Heights,10602.0,0.2,0.25,0.71,0.03,30579.0,,0.436,30579.0,0.24,0.0
Littlerock,766.0,0.12,0.01,0.35,0.53,14.4,2.0,0.5920000000000001,60781.0,0.79,0.1
Lomita,10424.0,0.18,0.12,0.26,0.54,3.5,7.0,0.626,59059.0,0.47,0.04
Long Beach,8882.0,0.22,0.13,0.36,0.33,,,0.723,50985.0,0.41,0.14
Lopez/Kagel Canyons,195.0,0.08,0.02,0.27,0.62,,,0.5429999999999999,61398.0,0.74,0.09
Los Feliz,13512.0,0.1,0.14,0.19,0.58,11.4,42.0,0.61,50793.0,0.25,0.04
Lynwood,14264.0,0.19,0.01,0.82,0.03,11.6,81.0,0.309,48518.0,0.47,0.13
Malibu,629.0,0.08,0.02,0.06,0.89,3.2,4.0,0.207,138215.0,0.72,0.01
Manchester Square,11449.0,0.26,0.0,0.19,0.01,83.4,101.0,0.34600000000000003,46093.0,0.57,0.79
Manhattan Beach,8573.0,0.07,0.06,0.05,0.86,,,0.262,136481.0,0.65,0.01
Marina del Rey,5706.0,0.11,0.08,0.05,0.78,9.6,8.0,0.377,92763.0,0.08,0.05
Mar Vista,12259.0,0.11,0.13,0.29,0.51,10.1,38.0,0.634,62611.0,0.39,0.04
Mayflower Village,9585.0,0.11,0.1,0.48,0.3,2.6,3.0,0.6579999999999999,67592.0,0.76,0.09
Maywood,23638.0,0.19,0.0,0.96,0.03,41203.0,,0.069,41203.0,0.3,0.0
Mid-City,15051.0,0.23,0.04,0.45,0.1,27.8,153.0,0.637,43711.0,0.31,0.38
Mid-City,15051.0,0.23,0.04,0.45,0.1,43711.0,,0.637,43711.0,0.31,0.38
Mid-Wilshire,14988.0,0.16,0.2,0.2,0.34,24.4,115.0,0.755,58483.0,0.22,0.23
Mission Hills,5721.0,0.1,0.11,0.54,0.29,14.4,28.0,0.615,75675.0,0.78,0.04
Monrovia,2643.0,0.18,0.07,0.35,0.46,,,0.65,61504.0,0.48,0.08
Montebello,7329.0,0.17,0.11,0.75,0.11,,,0.41700000000000004,52623.0,0.48,0.01
Montecito Heights,6959.0,0.14,0.17,0.66,0.12,9.9,18.0,0.524,55901.0,0.51,0.03
Monterey Park,7823.0,0.11,0.61,0.29,0.07,,,0.537,55210.0,0.54,0.0
Mount Washington,6878.0,0.15,0.13,0.61,0.21,10.3,14.0,0.565,57725.0,0.55,0.03
Northeast Antelope Valley,10.0,0.12,0.02,0.25,0.62,0.0,0.0,0.5479999999999999,52234.0,0.74,0.08
North El Monte,8677.0,0.11,0.26,0.31,0.4,2.7,1.0,0.6779999999999999,56577.0,0.65,0.01
North Hills,10003.0,0.18,0.12,0.57,0.24,15.7,92.0,0.604,52456.0,0.49,0.05
North Hollywood,13264.0,0.2,0.06,0.58,0.27,20.4,178.0,0.586,42791.0,0.25,0.06
North Hollywood,13264.0,0.2,0.06,0.58,0.27,42791.0,,0.586,42791.0,0.25,0.06
Northridge,6080.0,0.12,0.15,0.26,0.5,15.8,98.0,0.6609999999999999,67906.0,0.54,0.05
Northwest Antelope Valley,16.0,0.06,0.03,0.14,0.78,0.0,0.0,0.37200000000000005,58899.0,0.81,0.02
Northwest Palmdale,540.0,0.07,0.04,0.12,0.75,0.0,0.0,0.42100000000000004,103013.0,0.88,0.02
North Whittier,797.0,0.09,0.16,0.57,0.24,2.3,1.0,0.588,93841.0,0.85,0.01
Norwalk,10572.0,0.13,0.12,0.63,0.19,7.8,80.0,0.5539999999999999,62412.0,0.66,0.04
Pacific Palisades,1048.0,0.07,0.06,0.03,0.89,3.1,8.0,0.21,168008.0,0.83,0.0
Pacoima,10510.0,0.18,0.02,0.86,0.05,18.9,154.0,0.259,49066.0,0.57,0.07
Palmdale,874.0,0.19,0.04,0.38,0.41,4.5,53.0,0.67,63317.0,0.71,0.14
Palms,21870.0,0.15,0.2,0.23,0.38,11.2,51.0,0.7390000000000001,50684.0,0.13,0.12
Palos Verdes Estates,2822.0,0.03,0.17,0.03,0.76,,,0.39799999999999996,167344.0,0.91,0.01
Panorama City,18028.0,0.2,0.12,0.7,0.12,23.7,165.0,0.479,44468.0,0.36,0.04
Panorama City,18028.0,0.2,0.12,0.7,0.12,44468.0,,0.479,44468.0,0.36,0.04
Paramount,11395.0,0.22,0.04,0.73,0.09,5.6,31.0,0.445,49815.0,0.43,0.12
Pasadena,5366.0,0.13,0.1,0.33,0.39,,,0.706,62825.0,0.46,0.14
Pico Rivera,7187.0,0.13,0.03,0.88,0.08,1.9,12.0,0.221,56683.0,0.7,0.01
